TotalSteps,Calories,SedentaryMinutes,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes
13162,1985,728,8.5,8.5,0,1.879999995,0.550000012,6.059999943,0,25,13,328
10735,1797,776,6.96999979,6.96999979,0,1.570000052,0.689999998,4.710000038,0,21,19,217
10460,1776,1218,6.739999771,6.739999771,0,2.440000057,0.400000006,3.910000086,0,30,11,181
9762,1745,726,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209
12669,1863,773,8.159999847,8.159999847,0,2.710000038,0.409999996,5.039999962,0,36,10,221
9705,1728,539,6.480000019,6.480000019,0,3.190000057,0.779999971,2.50999999,0,38,20,164
13019,1921,1149,8.590000153,8.590000153,0,3.25,0.639999986,4.710000038,0,42,16,233
15506,2035,775,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264
10544,1786,818,6.679999828,6.679999828,0,1.960000038,0.479999989,4.239999771,0,28,12,205
9819,1775,838,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211
12764,1827,1217,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,66,27,130
14371,1949,732,9.039999962,9.039999962,0,2.809999943,0.870000005,5.360000134,0,41,21,262
10039,1788,709,6.409999847,6.409999847,0,2.920000076,0.209999993,3.279999971,0,39,5,238
15355,2013,814,9.800000191,9.800000191,0,5.289999962,0.569999993,3.940000057,0,73,14,216
13755,1970,833,8.789999962,8.789999962,0,2.329999924,0.920000017,5.539999962,0,31,23,279
18134,2159,1108,12.21000004,12.21000004,0,6.400000095,0.409999996,5.409999847,0,78,11,243
13154,1898,782,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189
11181,1837,815,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243
14673,1947,712,9.25,9.25,0,3.559999943,1.419999957,4.269999981,0,52,34,217
10602,1820,730,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,0,33,35,246
14727,2004,798,9.710000038,9.710000038,0,3.210000038,0.569999993,5.920000076,0,41,15,277
15103,1990,816,9.659999847,9.659999847,0,3.730000019,1.049999952,4.880000114,0,50,24,254
11100,1819,1179,7.150000095,7.150000095,0,2.460000038,0.870000005,3.819999933,0,36,22,203
14070,1959,857,8.899999619,8.899999619,0,2.920000076,1.080000043,4.880000114,0,45,24,250
12159,1896,754,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,0,24,6,289
11992,1821,833,7.710000038,7.710000038,0,2.460000038,2.119999886,3.130000114,0,37,46,175
10060,1740,574,6.579999924,6.579999924,0,3.529999971,0.319999993,2.730000019,0,44,8,203
12022,1819,835,7.71999979,7.71999979,0,3.450000048,0.529999971,3.74000001,0,46,11,206
12207,1859,746,7.769999981,7.769999981,0,3.349999905,1.159999967,3.25999999,0,46,31,214
12770,1783,669,8.130000114,8.130000114,0,2.559999943,1.00999999,4.550000191,0,36,23,251
0,0,1440,0,0,0,0,0,0,0,0,0,0
8163,1432,1294,5.309999943,5.309999943,0,0,0,5.309999943,0,0,0,146
7007,1411,1292,4.550000191,4.550000191,0,0,0,4.550000191,0,0,0,148
9107,1572,1204,5.920000076,5.920000076,0,0,0,5.909999847,0.01,0,0,236
1510,1344,1344,0.980000019,0.980000019,0,0,0,0.970000029,0,0,0,96
5370,1463,1264,3.49000001,3.49000001,0,0,0,3.49000001,0,0,0,176
6175,1554,1276,4.059999943,4.059999943,0,1.029999971,1.519999981,1.49000001,0.01,15,22,127
10536,1604,1214,7.409999847,7.409999847,0,2.150000095,0.620000005,4.619999886,0.01,17,7,202
2916,1435,1299,1.899999976,1.899999976,0,0,0,1.899999976,0,0,0,141
4974,1446,1289,3.230000019,3.230000019,0,0,0,3.230000019,0,0,0,151
6349,1467,1254,4.130000114,4.130000114,0,0,0,4.110000134,0.02,0,0,186
4026,1470,1241,2.619999886,2.619999886,0,0,0,2.599999905,0,0,0,199
8538,1562,1213,5.550000191,5.550000191,0,0,0,5.539999962,0.01,0,0,227
6076,1617,1221,3.950000048,3.950000048,0,1.149999976,0.910000026,1.889999986,0,16,18,185
6497,1492,1238,4.21999979,4.21999979,0,0,0,4.199999809,0.02,0,0,202
2826,1402,1300,1.840000033,1.840000033,0,0,0,1.830000043,0.01,0,0,140
8367,1670,1233,5.440000057,5.440000057,0,1.110000014,1.870000005,2.460000038,0,17,36,154
2759,1401,1320,1.789999962,1.789999962,0,0,0.200000003,1.600000024,0,0,5,115
2390,1404,1290,1.549999952,1.549999952,0,0,0,1.549999952,0,0,0,150
6474,1655,1182,4.300000191,4.300000191,0,0.899999976,1.279999971,2.119999886,0.01,11,23,224
36019,2690,1020,28.03000069,28.03000069,0,21.92000008,4.190000057,1.909999967,0.02,186,63,171
7155,1497,1261,4.929999828,4.929999828,0,0.860000014,0.589999974,3.470000029,0,7,6,166
2100,1334,1344,1.370000005,1.370000005,0,0,0,1.340000033,0.02,0,0,96
2193,1368,1322,1.429999948,1.429999948,0,0,0,1.419999957,0,0,0,118
2470,1370,1323,1.610000014,1.610000014,0,0,0,1.580000043,0.02,0,0,117
1727,1341,1338,1.120000005,1.120000005,0,0,0,1.120000005,0.01,0,0,102
2104,1474,1258,1.370000005,1.370000005,0,0,0,1.370000005,0,0,0,182
3427,1427,1288,2.230000019,2.230000019,0,0,0,2.220000029,0,0,0,152
1732,1328,1349,1.129999995,1.129999995,0,0,0,1.129999995,0,0,0,91
2969,1393,1301,1.929999948,1.929999948,0,0,0,1.919999957,0.01,0,0,139
3134,1359,1328,2.039999962,2.039999962,0,0,0,2.039999962,0,0,0,112
2971,1002,890,1.929999948,1.929999948,0,0,0,1.919999957,0.01,0,0,107
10694,3199,1131,7.769999981,7.769999981,0,0.140000001,2.299999952,5.329999924,0,2,51,256
8001,2902,1259,5.820000172,5.820000172,0,2.279999971,0.899999976,2.640000105,0,30,16,135
11037,3226,1125,8.020000458,8.020000458,0,0.360000014,2.559999943,5.099999905,0,5,58,252
5263,2750,1263,3.829999924,3.829999924,0,0.219999999,0.150000006,3.450000048,0,3,4,170
15300,3493,1135,11.11999989,11.11999989,0,4.099999905,1.879999995,5.090000153,0,51,42,212
8757,3011,1212,6.369999886,6.369999886,0,2.25,0.569999993,3.549999952,0,29,13,186
7132,2806,1271,5.190000057,5.190000057,0,1.070000052,1.669999957,2.450000048,0,15,33,121
11256,3300,1099,8.180000305,8.180000305,0,0.360000014,2.529999971,5.300000191,0,5,58,278
2436,2430,1315,1.769999981,1.769999981,0,0,0,1.75999999,0.01,0,0,125
1223,2140,1402,0.889999986,0.889999986,0,0,0,0.879999995,0.01,0,0,38
3673,2344,1354,2.670000076,2.670000076,0,0,0,2.660000086,0.01,0,0,86
6637,2677,1265,4.829999924,4.829999924,0,0,0.579999983,4.25,0,0,15,160
3321,2413,1351,2.410000086,2.410000086,0,0,0,2.410000086,0,0,0,89
3580,2497,1337,2.599999905,2.599999905,0,0.589999974,0.059999999,1.950000048,0,8,1,94
9919,3123,1165,7.210000038,7.210000038,0,0.800000012,1.720000029,4.690000057,0,11,41,223
3032,2489,1322,2.200000048,2.200000048,0,0,0,2.200000048,0,0,0,118
9405,3108,1157,6.840000153,6.840000153,0,0.200000003,2.319999933,4.309999943,0,3,53,227
3176,2498,1193,2.309999943,2.309999943,0,0,0,2.309999943,0,0,0,120
18213,3846,816,13.23999977,13.23999977,0,0.629999995,3.140000105,9.460000038,0,9,71,402
